TargetName,HUGOSymbol,TargetGroup,AnalyteType,Codeclass,Pooling,CorrelationToNegatives,GlobalOutliers
ABCA7,ABCA7,All Probes;sterol transport;phospholipid transport;regulation of anion transport;positive regulation of lipid localization;positive regulation of endocytosis;peptide cross-linking;phagocytosis;regulation of phagocytosis,RNA,Endogenous,01,0.951443383,0
ABCA8,ABCA8,All Probes,RNA,Endogenous,01,0.939255755,0
ABCA9,ABCA9,All Probes,RNA,Endogenous,01,0.936312632,0
ABCB1,ABCB1,All Probes;xenobiotic transport;phospholipid transport;stem cell proliferation;regulation of anion transport,RNA,Endogenous,01,0.926646971,0
ABCB10,ABCB10,All Probes,RNA,Endogenous,01,0.901514963,0
ABCB11,ABCB11,All Probes;acid secretion;sodium ion transmembrane transport,RNA,Endogenous,01,0.932787576,0
ABCB4,ABCB4,All Probes;acid secretion;positive regulation of lipid localization;phospholipid transport;regulation of anion transport,RNA,Endogenous,01,0.944507597,0
ABCB5,ABCB5,All Probes,RNA,Endogenous,01,0.939217485,0
ABCB6,ABCB6,All Probes;skin development;tetrapyrrole metabolic process;cellular transition metal ion homeostasis;iron ion transport;iron ion homeostasis,RNA,Endogenous,01,0.971268899,0
ABCB7,ABCB7,All Probes;cellular transition metal ion homeostasis;iron ion transport;iron ion homeostasis,RNA,Endogenous,01,0.963334813,0
ABCB8,ABCB8,All Probes,RNA,Endogenous,01,0.946809834,0
ABCB9,ABCB9,All Probes,RNA,Endogenous,01,0.939310593,0
ABCC1,ABCC1,All Probes;phospholipid transport;drug transmembrane transport;tetrapyrrole metabolic process;icosanoid metabolic process;water-soluble vitamin metabolic process;xenobiotic transport;vitamin transport,RNA,Endogenous,01,0.588248443,0
ABCC10,ABCC10,All Probes,RNA,Endogenous,01,0.963433959,0
ABCC11,ABCC11,All Probes,RNA,Endogenous,01,0.941602353,0
ABCC12,ABCC12,All Probes,RNA,Endogenous,01,0.936613899,0
ABCC2,ABCC2,All Probes;response to antineoplastic agent;amine metabolic process;antibiotic metabolic process;drug transmembrane transport;anion homeostasis;cellular response to ketone;acid secretion;fatty acid transport;dicarboxylic acid transport;hormone transport;response to estrogen;xenobiotic transport;multi-multicellular organism process,RNA,Endogenous,01,0.929345727,0
ABCC3,ABCC3,All Probes;xenobiotic transport;acid secretion,RNA,Endogenous,01,0.933542821,0
ABCC4,ABCC4,All Probes;xenobiotic transport;positive regulation of smooth muscle cell proliferation;fatty acid transport;acid secretion,RNA,Endogenous,01,0.904644815,0
ABCC5,ABCC5,All Probes;glycosaminoglycan biosynthetic process,RNA,Endogenous,01,0.924898802,0
ABCC6,ABCC6,All Probes,RNA,Endogenous,01,0.91163338,0
ABCC8,ABCC8,All Probes,RNA,Endogenous,01,0.922291245,0
ABCC9,ABCC9,All Probes;multicellular organismal signaling;import across plasma membrane,RNA,Endogenous,01,0.962172397,0
ABCD1,ABCD1,All Probes;lipid oxidation;fatty acid biosynthetic process;anion homeostasis;fatty acid transport;nucleobase-containing small molecule biosynthetic process;plasma membrane organization;peroxisome organization;long-chain fatty acid metabolic process;regulation of lipid catabolic process;regulation of fatty acid metabolic process;regulation of cytokine production involved in inflammatory response;regulation of response to oxidative stress;sulfur compound catabolic process;acyl-CoA metabolic process;sterol homeostasis;unsaturated fatty acid metabolic process;carbohydrate derivative transport;regulation of mitochondrial membrane potential;fatty acid catabolic process,RNA,Endogenous,01,0.9552868,0
ABCD2,ABCD2,All Probes;lipid oxidation;regulation of lipid catabolic process;regulation of fatty acid metabolic process;regulation of cytokine production involved in inflammatory response;plasma membrane organization;fatty acid catabolic process,RNA,Endogenous,01,0.942848736,0
ABCD3,ABCD3,All Probes;lipid oxidation;fatty acid biosynthetic process;fatty acid transport;peroxisome organization;fatty acid catabolic process,RNA,Endogenous,01,0.896083899,0
ABCD4,ABCD4,All Probes;water-soluble vitamin metabolic process;cellular response to leukemia inhibitory factor;tetrapyrrole metabolic process,RNA,Endogenous,01,0.965080343,0
ABCE1,ABCE1,All Probes;translational termination;protein export from nucleus,RNA,Endogenous,01,0.961055759,0
ABCF1,ABCF1,All Probes,RNA,Endogenous,01,0.974671672,0
ABCF2,ABCF2,All Probes,RNA,Endogenous,01,0.953195522,0
ABCF3,ABCF3,All Probes,RNA,Endogenous,01,0.960509625,0
ABCG1,ABCG1,All Probes;sterol transport;toxin transport;phospholipid transport;sterol homeostasis;anion homeostasis;positive regulation of lipid localization;carbohydrate derivative transport;regulation of steroid biosynthetic process,RNA,Endogenous,01,0.935254758,0
ABCG2,ABCG2,All Probes;cellular detoxification;cellular transition metal ion homeostasis;excretion;xenobiotic transport;vitamin transport;iron ion homeostasis,RNA,Endogenous,01,0.955038846,0
ABCG4,ABCG4,All Probes;sterol transport;cellular response to leukemia inhibitory factor,RNA,Endogenous,01,0.901681195,0
ABCG5,ABCG5,All Probes;sterol homeostasis;sterol transport;excretion;digestive system process,RNA,Endogenous,01,0.953676335,0
ABCG8,ABCG8,All Probes;sterol transport;phospholipid transport;digestive system process;sterol homeostasis;excretion,RNA,Endogenous,01,0.950129292,0
ABHD1,ABHD1,All Probes,RNA,Endogenous,01,0.938342439,0
ABHD10,ABHD10,All Probes;cellular carbohydrate catabolic process,RNA,Endogenous,01,0.920751629,0
ABHD11,ABHD11,All Probes,RNA,Endogenous,01,0.942255524,0
ABHD12,ABHD12,All Probes;macromolecule deacylation;neutral lipid metabolic process;cellular modified amino acid catabolic process;phosphatidylserine metabolic process;lipoprotein metabolic process;adult locomotory behavior,RNA,Endogenous,01,0.935636856,0
ABHD12B,ABHD12B,All Probes,RNA,Endogenous,01,0.939276336,0
ABHD13,ABHD13,All Probes;macromolecule deacylation;lipoprotein metabolic process,RNA,Endogenous,01,0.948636205,0
ABHD14A,ABHD14A,All Probes,RNA,Endogenous,01,0.95122534,0
ABHD14B,ABHD14B,All Probes;3'-phosphoadenosine 5'-phosphosulfate metabolic process,RNA,Endogenous,01,0.913090669,0
ABHD15,ABHD15,All Probes,RNA,Endogenous,01,0.963628907,0
ABHD16A,ABHD16A,All Probes;neutral lipid metabolic process;cellular modified amino acid catabolic process;unsaturated fatty acid metabolic process;icosanoid metabolic process;phosphatidylserine metabolic process;fatty acid catabolic process,RNA,Endogenous,01,0.920512993,0
ABHD16B,ABHD16B,All Probes,RNA,Endogenous,01,0.947014611,0
ABHD17A,ABHD17A,All Probes;macromolecule deacylation;regulation of postsynapse organization;protein lipidation;lipoprotein metabolic process,RNA,Endogenous,01,0.903965745,0
ABHD17B,ABHD17B,All Probes;macromolecule deacylation;regulation of postsynapse organization;protein lipidation;lipoprotein metabolic process,RNA,Endogenous,01,0.96972321,0
ABHD17C,ABHD17C,All Probes;macromolecule deacylation;regulation of postsynapse organization;protein lipidation;lipoprotein metabolic process,RNA,Endogenous,01,0.943402987,0
ABHD18,ABHD18,All Probes,RNA,Endogenous,01,0.96507866,0
ABHD2,ABHD2,All Probes;neutral lipid metabolic process;response to progesterone,RNA,Endogenous,01,0.933566313,0
ABHD3,ABHD3,All Probes;phosphatidylcholine metabolic process,RNA,Endogenous,01,0.946724002,0
ABHD4,ABHD4,All Probes;phosphatidylethanolamine metabolic process;phosphatidylcholine metabolic process,RNA,Endogenous,01,0.9471854,0
ABHD5,ABHD5,All Probes;regulation of lipase activity;phosphatidic acid metabolic process;regulation of lipid catabolic process,RNA,Endogenous,01,0.966541379,0
ABHD6,ABHD6,All Probes;negative regulation of synaptic transmission;neutral lipid metabolic process;negative regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.963096948,0
ABHD8,ABHD8,All Probes,RNA,Endogenous,01,0.952187098,0
ABI1,ABI1,All Probes;myeloid cell development;Fc-gamma receptor signaling pathway;lamellipodium organization;regulation of protein tyrosine kinase activity;segmentation,RNA,Endogenous,01,0.951081958,0
ABI2,ABI2,All Probes;regulation of dendrite morphogenesis;positive regulation of actin filament polymerization;regulation of postsynapse organization;regulation of dendritic spine development,RNA,Endogenous,01,0.931060797,0
ABI3,ABI3,All Probes,RNA,Endogenous,01,0.905216286,0
ABI3BP,ABI3BP,All Probes,RNA,Endogenous,01,0.930828857,0
ABITRAM,ABITRAM,All Probes,RNA,Endogenous,01,0.96216561,0
ABL1,ABL1,All Probes;negative regulation of I-kappaB kinase/NF-kappaB signaling;substrate adhesion-dependent cell spreading;regulation of epithelial cell apoptotic process;leukocyte homeostasis;tube closure;regulation of interferon-gamma production;epithelial cell migration;regulation of axon extension;regulation of hematopoietic progenitor cell differentiation;regulation of cell junction assembly;positive regulation of muscle cell differentiation;regulation of BMP signaling pathway;post-embryonic development;positive regulation of endothelial cell migration;regulation of ubiquitin-protein transferase activity;spleen development;regulation of sprouting angiogenesis;ERBB signaling pathway;regulation of oxidoreductase activity;neuromuscular process;regulation of lipase activity;positive regulation of neuron death;intrinsic apoptotic signaling pathway in response to DNA damage;developmental growth involved in morphogenesis;regulation of non-canonical Wnt signaling pathway;Fc-gamma receptor signaling pathway;leukocyte proliferation;signal transduction in response to DNA damage;negative regulation of ERK1 and ERK2 cascade;regulation of cell aging;lymphocyte activation involved in immune response;negative regulation of protein modification by small protein conjugation or removal;cell growth;integrin-mediated signaling pathway;cellular response to hydrogen peroxide;B cell differentiation;regulation of actin filament bundle assembly;platelet-derived growth factor receptor signaling pathway;glial cell differentiation;positive regulation of protein binding;columnar/cuboidal epithelial cell differentiation;regulation of calcium ion transport into cytosol;regulation of morphogenesis of a branching structure;regulation of microtubule polymerization or depolymerization;regulation of mitochondrial membrane potential,RNA,Endogenous,01,0.96192282,0
ABL2,ABL2,All Probes;regulation of lipase activity;negative regulation of small GTPase mediated signal transduction;cellular response to retinoic acid;regulation of oxidoreductase activity,RNA,Endogenous,01,0.960934075,0
ABLIM1,ABLIM1,All Probes;lamellipodium organization,RNA,Endogenous,01,,
ABLIM2,ABLIM2,All Probes;lamellipodium organization,RNA,Endogenous,01,0.867224171,0
ABLIM3,ABLIM3,All Probes;lamellipodium organization;regulation of protein targeting,RNA,Endogenous,01,0.977557057,0
ABO,ABO,All Probes,RNA,Endogenous,01,0.956279601,0
ABR,ABR,All Probes;activation of GTPase activity;regulation of phagocytosis;regulation of myeloid leukocyte mediated immunity;neuromuscular process;inner ear morphogenesis,RNA,Endogenous,01,0.902071402,0
ABRA,ABRA,All Probes;positive regulation of small GTPase mediated signal transduction;protein import into nucleus,RNA,Endogenous,01,0.953061812,0
ABRACL,ABRACL,All Probes,RNA,Endogenous,01,0.939093231,0
ABRAXAS1,ABRAXAS1,All Probes;negative regulation of cell cycle G2/M phase transition;signal transduction in response to DNA damage;protein K63-linked deubiquitination;positive regulation of response to DNA damage stimulus;mitotic spindle organization;spindle assembly,RNA,Endogenous,01,0.94637766,0
ABRAXAS2,ABRAXAS2,All Probes;mitotic spindle organization;spindle assembly;protein K63-linked deubiquitination,RNA,Endogenous,01,0.937897556,0
ABT1,ABT1,"All Probes;cell differentiation in spinal cord;RNA phosphodiester bond hydrolysis, endonucleolytic;central nervous system neuron differentiation",RNA,Endogenous,01,0.954004923,0
ABTB1,ABTB1,All Probes,RNA,Endogenous,01,0.902293117,0
ABTB2,ABTB2,All Probes,RNA,Endogenous,01,0.958540892,0
ACAA1,ACAA1,All Probes;lipid oxidation;long-chain fatty acid metabolic process;unsaturated fatty acid metabolic process;peroxisome organization;fatty acid catabolic process;xenobiotic metabolic process,RNA,Endogenous,01,0.89743205,0
ACAA2,ACAA2,All Probes;lipid oxidation;regulation of membrane permeability;negative regulation of mitochondrion organization;sterol biosynthetic process;fatty acid catabolic process,RNA,Endogenous,01,0.767071822,0
ACACA,ACACA,All Probes;protein homotetramerization;cellular response to alcohol;ribonucleoside bisphosphate biosynthetic process;acyl-CoA metabolic process;fatty acid biosynthetic process;fatty acid transport;cellular response to ketone;mitochondrial transmembrane transport;fatty acid derivative biosynthetic process;regulation of steroid biosynthetic process;purine nucleoside bisphosphate biosynthetic process,RNA,Endogenous,01,0.963694636,0
ACACB,ACACB,All Probes;protein homotetramerization;acyl-CoA metabolic process;ribonucleoside bisphosphate biosynthetic process;fatty acid biosynthetic process;regulation of lipid catabolic process;regulation of organ growth;negative regulation of lipid metabolic process;regulation of fatty acid metabolic process;fatty acid transport;mitochondrial transmembrane transport;positive regulation of lipid localization;regulation of steroid biosynthetic process;purine nucleoside bisphosphate biosynthetic process,RNA,Endogenous,01,0.936220977,0
ACAD10,ACAD10,All Probes;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.961948414,0
ACAD11,ACAD11,All Probes,RNA,Endogenous,01,0.862984713,0
ACAD8,ACAD8,All Probes;alpha-amino acid catabolic process,RNA,Endogenous,01,0.966044591,0
ACAD9,ACAD9,All Probes;mitochondrial respiratory chain complex assembly;long-chain fatty acid metabolic process,RNA,Endogenous,01,0.647542771,0
ACADL,ACADL,All Probes;lipid oxidation;long-chain fatty acid metabolic process;cellular modified amino acid catabolic process;regulation of fatty acid metabolic process;negative regulation of lipid metabolic process;protein homotetramerization;fatty acid catabolic process;positive regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.965946688,0
ACADM,ACADM,All Probes;cellular modified amino acid biosynthetic process;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.704258399,0
ACADS,ACADS,All Probes;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.972119518,0
ACADSB,ACADSB,All Probes,RNA,Endogenous,01,0.837856605,0
ACADVL,ACADVL,All Probes;lipid oxidation;regulation of fatty acid metabolic process;negative regulation of lipid metabolic process;fatty acid catabolic process;IRE1-mediated unfolded protein response,RNA,Endogenous,01,0.940841163,0
ACAN,ACAN,All Probes,RNA,Endogenous,01,0.920478648,0
ACAP2,ACAP2,All Probes;endocytic recycling,RNA,Endogenous,01,0.902013944,0
ACAP3,ACAP3,All Probes,RNA,Endogenous,01,0.950774066,0
ACAT1,ACAT1,All Probes;alpha-amino acid catabolic process;sulfur compound catabolic process;ribonucleoside bisphosphate biosynthetic process;lipid oxidation;liver development;fatty acid derivative biosynthetic process;nucleobase-containing small molecule biosynthetic process;kidney epithelium development;acyl-CoA metabolic process;purine nucleoside bisphosphate biosynthetic process;fatty acid catabolic process,RNA,Endogenous,01,0.714527917,0
ACAT2,ACAT2,All Probes;sterol biosynthetic process;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.962680169,0
ACBD3,ACBD3,All Probes,RNA,Endogenous,01,0.948114616,0
ACBD4,ACBD4,All Probes,RNA,Endogenous,01,0.965932556,0
ACBD5,ACBD5,All Probes;fatty acid catabolic process;macroautophagy,RNA,Endogenous,01,0.946130904,0
ACBD6,ACBD6,All Probes;acyl-CoA metabolic process,RNA,Endogenous,01,0.95571257,0
ACBD7,ACBD7,All Probes,RNA,Endogenous,01,0.935306432,0
ACCS,ACCS,All Probes;cellular amino acid biosynthetic process,RNA,Endogenous,01,0.956119955,0
ACCSL,ACCSL,All Probes,RNA,Endogenous,01,0.904851031,0
ACD,ACD,All Probes;telomere maintenance;regulation of telomere maintenance;positive regulation of DNA biosynthetic process;protein localization to chromosome,RNA,Endogenous,01,0.942062492,0
ACE,ACE,All Probes;hematopoietic progenitor cell differentiation;leukocyte mediated immunity;peptide hormone processing;regulation of cell junction assembly;fatty acid transport;acid secretion;negative regulation of protein binding;regulation of protein tyrosine kinase activity;leukocyte proliferation;positive regulation of protein binding;regulation of systemic arterial blood pressure;tissue remodeling,RNA,Endogenous,01,0.903410468,0
ACE2,ACE2,All Probes;peptide hormone processing;regulation of anion transport;regulation of cell junction assembly;regulation of striated muscle contraction;entry into host cell;regulation of systemic arterial blood pressure;feeding behavior,RNA,Endogenous,01,0.744786477,0
ACER1,ACER1,All Probes;response to pH;sphingolipid biosynthetic process;epidermal cell differentiation;ceramide metabolic process;epidermis development;cellular response to calcium ion,RNA,Endogenous,01,0.952947244,0
ACER2,ACER2,All Probes;activation of cysteine-type endopeptidase activity involved in apoptotic process;signal transduction in response to DNA damage;sphingolipid biosynthetic process;ceramide metabolic process;negative regulation of cell-substrate adhesion,RNA,Endogenous,01,0.901614619,0
ACER3,ACER3,All Probes;sphingolipid biosynthetic process;ceramide metabolic process;axon ensheathment,RNA,Endogenous,01,0.968097298,0
ACHE,ACHE,All Probes;neurotransmitter metabolic process;phosphatidylcholine metabolic process;retina development in camera-type eye;negative regulation of synaptic transmission;receptor internalization;synapse assembly;positive regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.944499265,0
ACIN1,ACIN1,All Probes;erythrocyte differentiation;DNA packaging;positive regulation of myeloid cell differentiation,RNA,Endogenous,01,0.919258117,0
ACKR1,ACKR1,All Probes;chemokine-mediated signaling pathway,RNA,Endogenous,01,0.801712717,0
ACKR2,ACKR2,All Probes;chemokine-mediated signaling pathway,RNA,Endogenous,01,0.860869079,0
ACKR3,ACKR3,All Probes;negative regulation of intrinsic apoptotic signaling pathway;chemokine-mediated signaling pathway;receptor internalization,RNA,Endogenous,01,0.94679915,0
ACKR4,ACKR4,All Probes;chemokine-mediated signaling pathway,RNA,Endogenous,01,0.939038845,0
ACLY,ACLY,All Probes;ribonucleoside bisphosphate biosynthetic process;antibiotic metabolic process;fatty acid biosynthetic process;fatty acid derivative biosynthetic process;sterol biosynthetic process;dicarboxylic acid metabolic process;acyl-CoA metabolic process;purine nucleoside bisphosphate biosynthetic process,RNA,Endogenous,01,0.952291976,0
ACMSD,ACMSD,All Probes;alpha-amino acid catabolic process;amine metabolic process,RNA,Endogenous,01,0.887634168,0
ACO1,ACO1,All Probes;antibiotic metabolic process;digestive system process;post-embryonic development;cellular transition metal ion homeostasis;iron ion homeostasis,RNA,Endogenous,01,0.8865235,0
ACO2,ACO2,All Probes;liver development;antibiotic metabolic process,RNA,Endogenous,01,0.875034472,0
ACOD1,ACOD1,All Probes;cellular response to interferon-gamma;regulation of humoral immune response;negative regulation of response to biotic stimulus;cellular response to ketone;regulation of lipopolysaccharide-mediated signaling pathway;response to progesterone;regulation of toll-like receptor signaling pathway;embryo implantation;negative regulation of NF-kappaB transcription factor activity,RNA,Endogenous,01,0.929948188,0
ACOT1,ACOT1,All Probes;acyl-CoA metabolic process;long-chain fatty acid metabolic process,RNA,Endogenous,01,0.854085483,0
ACOT11,ACOT11,All Probes;acyl-CoA metabolic process;negative regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.922919139,0
ACOT12,ACOT12,All Probes;acyl-CoA metabolic process,RNA,Endogenous,01,0.968875491,0
ACOT13,ACOT13,All Probes;protein homotetramerization;acyl-CoA metabolic process;negative regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.925721818,0
ACOT2,ACOT2,All Probes;peroxisome organization;acyl-CoA metabolic process;long-chain fatty acid metabolic process,RNA,Endogenous,01,0.964248559,0
ACOT4,ACOT4,All Probes;fatty acid biosynthetic process;long-chain fatty acid metabolic process;peroxisome organization;acyl-CoA metabolic process;dicarboxylic acid metabolic process,RNA,Endogenous,01,0.947778253,0
ACOT6,ACOT6,All Probes;acyl-CoA metabolic process,RNA,Endogenous,01,0.952378146,0
ACOT7,ACOT7,All Probes;sulfur compound catabolic process;ribonucleoside bisphosphate biosynthetic process;fatty acid biosynthetic process;long-chain fatty acid metabolic process;nucleobase-containing small molecule biosynthetic process;acyl-CoA metabolic process;purine nucleoside bisphosphate biosynthetic process,RNA,Endogenous,01,0.912451794,0
ACOT8,ACOT8,All Probes;lipid oxidation;long-chain fatty acid metabolic process;unsaturated fatty acid metabolic process;organelle fission;peroxisome organization;acyl-CoA metabolic process;dicarboxylic acid metabolic process;fatty acid catabolic process,RNA,Endogenous,01,0.976915321,0
ACOT9,ACOT9,All Probes;acyl-CoA metabolic process,RNA,Endogenous,01,0.956328872,0
ACOX1,ACOX1,All Probes;lipid oxidation;long-chain fatty acid metabolic process;unsaturated fatty acid metabolic process;icosanoid metabolic process;peroxisome organization;fatty acid catabolic process,RNA,Endogenous,01,0.952469533,0
ACOX2,ACOX2,All Probes;peroxisome organization;lipid oxidation;fatty acid catabolic process;regulation of response to oxidative stress,RNA,Endogenous,01,0.910376874,0
ACOX3,ACOX3,All Probes;peroxisome organization;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.926168764,0
ACOXL,ACOXL,All Probes;lipid oxidation;fatty acid catabolic process,RNA,Endogenous,01,0.972574568,0
ACP1,ACP1,All Probes;peptidyl-tyrosine dephosphorylation,RNA,Endogenous,01,0.96064098,0
ACP2,ACP2,All Probes;lysosome organization,RNA,Endogenous,01,0.961902949,0
ACP4,ACP4,All Probes;regulation of ERBB signaling pathway;regulation of protein maturation;peptidyl-tyrosine dephosphorylation;regulation of neuronal synaptic plasticity,RNA,Endogenous,01,0.948626115,0
ACP5,ACP5,All Probes;defense response to Gram-positive bacterium;regulation of interleukin-1 production;bone morphogenesis;regulation of interleukin-12 production;water-soluble vitamin metabolic process,RNA,Endogenous,01,0.788987962,0
ACP6,ACP6,All Probes;phosphatidic acid metabolic process;hematopoietic progenitor cell differentiation,RNA,Endogenous,01,0.967688713,0
ACP7,ACP7,All Probes,RNA,Endogenous,01,0.945472661,0
ACR,ACR,All Probes;cell-cell recognition;multi-multicellular organism process;fertilization;activation of adenylate cyclase activity,RNA,Endogenous,01,0.944640506,0
ACRBP,ACRBP,All Probes;cellular component assembly involved in morphogenesis;fertilization,RNA,Endogenous,01,0.959492864,0
ACRV1,ACRV1,All Probes,RNA,Endogenous,01,0.939476706,0
ACSBG2,ACSBG2,All Probes;ribonucleoside bisphosphate biosynthetic process;long-chain fatty acid metabolic process;fatty acid derivative biosynthetic process;acyl-CoA metabolic process;purine nucleoside bisphosphate biosynthetic process,RNA,Endogenous,01,0.93788677,0
ACSF2,ACSF2,All Probes;acyl-CoA metabolic process,RNA,Endogenous,01,0.699451584,0
ACSF3,ACSF3,All Probes;ribonucleoside bisphosphate biosynthetic process;fatty acid biosynthetic process;purine nucleoside bisphosphate biosynthetic process;fatty acid derivative biosynthetic process;acyl-CoA metabolic process;dicarboxylic acid metabolic process,RNA,Endogenous,01,0.966064582,0
ACSL1,ACSL1,All Probes;ribonucleoside bisphosphate biosynthetic process;neutral lipid metabolic process;long-chain fatty acid metabolic process;fatty acid transport;unsaturated fatty acid metabolic process;fatty acid derivative biosynthetic process;xenobiotic metabolic process;acyl-CoA metabolic process;purine nucleoside bisphosphate biosynthetic process;positive regulation of cold-induced thermogenesis,RNA,Endogenous,01,0.772124967,0
ACSL3,ACSL3,All Probes;ribonucleoside bisphosphate biosynthetic process;fatty acid biosynthetic process;purine nucleoside bisphosphate biosynthetic process;long-chain fatty acid metabolic process;fatty acid transport;positive regulation of protein localization to cell periphery;fatty acid derivative biosynthetic process;regulation of phospholipid metabolic process;acyl-CoA metabolic process;regulation of protein localization to plasma membrane,RNA,Endogenous,01,0.91612322,0
