"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0001657"	"ureteric bud development "	"35/17829"	0.630252100840336	0.196309383588536	0.0147727411500418	1	3.21050420168067	"SMAD3_HUMAN;ROBO2_HUMAN;FOXC1_HUMAN;EPCAM_HUMAN;SLIT2_HUMAN;WT1_HUMAN;BMP7_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0048565"	"digestive tract development "	"25/17829"	0.525210084033613	0.140220988277525	0.0149315679269392	1	3.74558823529412	"FOXF1_HUMAN;NIPBL_HUMAN;CP1A1_HUMAN;CO3A1_HUMAN;CLD18_HUMAN;GASR_HUMAN"	"6/952"
"WT1"	"correlated"	"GO"	"0009612"	"response to mechanical stimulus "	"46/17829"	0.735294117647059	0.258006618430647	0.0150503051146181	1	2.84990409207161	"RHOA_HUMAN;LRP11_HUMAN;FOSB_HUMAN;JUND_HUMAN;CH3L1_HUMAN;MMP14_HUMAN;RETN_HUMAN;BTG2_HUMAN"	"8/952"
"WT1"	"correlated"	"GO"	"0045198"	"establishment of epithelial cell apical/basal polarity "	"16/17829"	0.420168067226891	0.0897414324976162	0.0153057856387936	1	4.68198529411765	"PTK7_HUMAN;RHOA_HUMAN;FOXF1_HUMAN;CAMP3_HUMAN;IFT20_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"0033280"	"response to vitamin D "	"16/17829"	0.420168067226891	0.0897414324976162	0.0153057856387936	1	4.68198529411765	"AQP3_HUMAN;STC1_HUMAN;TYRO_HUMAN;PPBT_HUMAN;BMP7_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	13.1302521008403	10.8587133322116	0.0155033881846433	1	1.20919041686923	"KPYM_HUMAN;PSB9_HUMAN;VATB1_HUMAN;VDAC1_HUMAN;VATC1_HUMAN;VATC2_HUMAN;VA0D2_HUMAN;MUC4_HUMAN;PALS1_HUMAN;RAB8B_HUMAN;RHOA_HUMAN;RUVB2_HUMAN;PADI2_HUMAN;SEM3C_HUMAN;SLPI_HUMAN;SRSF7_HUMAN;ROBO2_HUMAN;S27A2_HUMAN;TM1L1_HUMAN;TM52B_HUMAN;PSB6_HUMAN;FAT2_HUMAN;FAM3B_HUMAN;GSTT1_HUMAN;MMP9_HUMAN;KNG1_HUMAN;H2A2B_HUMAN;HINT1_HUMAN;FBRL_HUMAN;K1C16_HUMAN;IF4A1_HUMAN;HS71B_HUMAN;IF2G_HUMAN;KLK11_HUMAN;KPCI_HUMAN;IGJ_HUMAN;KRT38_HUMAN;MOB1B_HUMAN;GNA11_HUMAN;CUTA_HUMAN;DEFB1_HUMAN;COBL1_HUMAN;CALB1_HUMAN;DNJA1_HUMAN;ENOA_HUMAN;ENPP3_HUMAN;FA11_HUMAN;EPCAM_HUMAN;CYTS_HUMAN;AMPB_HUMAN;CYTM1_HUMAN;GPC4_HUMAN;GBG4_HUMAN;HBAZ_HUMAN;GALT3_HUMAN;DYHC2_HUMAN;EVPL_HUMAN;CH3L1_HUMAN;INADL_HUMAN;OLFM4_HUMAN;P2RX4_HUMAN;PGDH_HUMAN;CDKL1_HUMAN;CAH1_HUMAN;CAH4_HUMAN;NIPBL_HUMAN;GMPPA_HUMAN;PMVK_HUMAN;MRP1_HUMAN;RLA2_HUMAN;RL37A_HUMAN;AQP2_HUMAN;NRF1_HUMAN;RL22_HUMAN;RS4X_HUMAN;RS25_HUMAN;SYUG_HUMAN;RL23_HUMAN;NEDD4_HUMAN;PLCG2_HUMAN;TRFE_HUMAN;UTER_HUMAN;VIME_HUMAN;SCRB2_HUMAN;SPRR3_HUMAN;RS3_HUMAN;SLIT2_HUMAN;PON1_HUMAN;RS29_HUMAN;UGDH_HUMAN;TMM98_HUMAN;TEX14_HUMAN;VPS36_HUMAN;VPP4_HUMAN;RETN_HUMAN;UGPA_HUMAN;UPK1B_HUMAN;THIC_HUMAN;WDR1_HUMAN;PPBT_HUMAN;RACK1_HUMAN;ADHX_HUMAN;ANGL2_HUMAN;CE046_HUMAN;DEST_HUMAN;CFAD_HUMAN;DHSO_HUMAN;AHSA1_HUMAN;ICAM1_HUMAN;GNA13_HUMAN;NUCB2_HUMAN;ITSN2_HUMAN;K1C27_HUMAN;GMDS_HUMAN;DDX3X_HUMAN;HSPB1_HUMAN;DNHD1_HUMAN;KCC4_HUMAN;1433T_HUMAN;BTG2_HUMAN;ACE2_HUMAN;CK054_HUMAN;GDIB_HUMAN;ADH6_HUMAN;AIF1L_HUMAN;FMNL1_HUMAN"	"126/952"
"WT1"	"correlated"	"GO"	"0045815"	"epigenetic maintenance of chromatin in transcription-competent conformation "	"17/17829"	0.420168067226891	0.0953502720287173	0.0181828777770797	1	4.40657439446367	"PADI2_HUMAN;ARI1B_HUMAN;ARI1A_HUMAN;CDCA4_HUMAN;EP300_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"0007200"	"phospholipase C-activating G protein-coupled receptor signaling pathway "	"61/17829"	0.840336134453782	0.342139211397162	0.0202522097729158	1	2.45612343297975	"PE2R3_HUMAN;GPR33_HUMAN;HRH1_HUMAN;NMUR1_HUMAN;OX2R_HUMAN;GPR32_HUMAN;OREX_HUMAN;GASR_HUMAN;FPR2_HUMAN"	"9/952"
"WT1"	"correlated"	"GO"	"0001822"	"kidney development "	"111/17829"	1.26050420168067	0.622581187952213	0.0207619615918354	1	2.02464228934817	"PTK7_HUMAN;RHOA_HUMAN;GRB1L_HUMAN;FOXC1_HUMAN;FRITZ_HUMAN;DYHC2_HUMAN;PAX8_HUMAN;PGDH_HUMAN;HMCS2_HUMAN;IFT20_HUMAN;WT1_HUMAN;GLI2_HUMAN;CP26A_HUMAN"	"13/952"
"WT1"	"correlated"	"GO"	"0005201"	"extracellular matrix structural constituent "	"97/17829"	1.15546218487395	0.544057434516798	0.0220372292165007	1	2.12378714372347	"COBA2_HUMAN;COJA1_HUMAN;FRAS1_HUMAN;COAA1_HUMAN;CH3L1_HUMAN;ZPLD1_HUMAN;TECTB_HUMAN;COMA1_HUMAN;CO2A1_HUMAN;CO3A1_HUMAN;CO4A6_HUMAN;COSA1_HUMAN"	"12/952"
"WT1"	"correlated"	"GO"	"0016922"	"nuclear receptor binding "	"39/17829"	0.630252100840336	0.21874474171294	0.0226725457133941	1	2.88122171945701	"TACC2_HUMAN;SMAD3_HUMAN;ARI1A_HUMAN;NCOR1_HUMAN;JUND_HUMAN;EP300_HUMAN;NCOA1_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0001501"	"skeletal system development "	"120/17829"	1.36554621848739	0.673060743732122	0.0238045339121055	1	2.02886029411765	"SFRP3_HUMAN;MMP9_HUMAN;HPLN3_HUMAN;COBA2_HUMAN;COJA1_HUMAN;GNA11_HUMAN;COAA1_HUMAN;MMP14_HUMAN;NCAN_HUMAN;PPBT_HUMAN;BMP7_HUMAN;HME1_HUMAN;CO2A1_HUMAN;GLI2_HUMAN"	"14/952"
"WT1"	"correlated"	"GO"	"0002827"	"positive regulation of T-helper 1 type immune response "	"10/17829"	0.315126050420168	0.0560883953110102	0.0238089583800154	1	5.61838235294118	"I12R1_HUMAN;NAL10_HUMAN;IL23A_HUMAN;IL12B_HUMAN"	"4/952"
"WT1"	"correlated"	"GO"	"2000318"	"positive regulation of T-helper 17 type immune response "	"10/17829"	0.315126050420168	0.0560883953110102	0.0238089583800154	1	5.61838235294118	"I12R1_HUMAN;NAL10_HUMAN;IL23A_HUMAN;IL12B_HUMAN"	"4/952"
"WT1"	"correlated"	"GO"	"0030837"	"negative regulation of actin filament polymerization "	"19/17829"	0.420168067226891	0.106567951090919	0.0248864567673384	1	3.94272445820433	"KANK1_HUMAN;HIP1R_HUMAN;BIG1_HUMAN;SLIT2_HUMAN;MYADM_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"0009411"	"response to UV "	"40/17829"	0.630252100840336	0.224353581244041	0.0250182702670786	1	2.80919117647059	"REV1_HUMAN;ERCC5_HUMAN;PAF15_HUMAN;ERCC2_HUMAN;PRIPO_HUMAN;TYRO_HUMAN;HUS1_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0003735"	"structural constituent of ribosome "	"149/17829"	1.57563025210084	0.835717090134051	0.027109174291849	1	1.88536320568496	"RT18B_HUMAN;RT06_HUMAN;RT31_HUMAN;RS21_HUMAN;RLA2_HUMAN;RL37A_HUMAN;RL36A_HUMAN;RL36_HUMAN;RL22_HUMAN;RM47_HUMAN;RS4X_HUMAN;RS25_HUMAN;RL23_HUMAN;RS3_HUMAN;RM46_HUMAN;RS29_HUMAN"	"16/952"
"WT1"	"correlated"	"GO"	"0001756"	"somitogenesis "	"41/17829"	0.630252100840336	0.229962420775142	0.0275203275654958	1	2.74067431850789	"SMAD3_HUMAN;SEM3C_HUMAN;FOXC1_HUMAN;FOXF1_HUMAN;EP300_HUMAN;MSGN1_HUMAN;BMR1A_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0051893"	"regulation of focal adhesion assembly "	"20/17829"	0.420168067226891	0.11217679062202	0.0287266050987156	1	3.74558823529412	"RHOA_HUMAN;DUS3_HUMAN;CAMP3_HUMAN;FRITZ_HUMAN;GREM1_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"1902895"	"positive regulation of pri-miRNA transcription by RNA polymerase II "	"42/17829"	0.630252100840336	0.235571260306243	0.0301822224854184	1	2.67542016806723	"SMAD3_HUMAN;PPARG_HUMAN;FOS_HUMAN;JUN_HUMAN;SRF_HUMAN;WT1_HUMAN;BMR1A_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0032587"	"ruffle membrane "	"89/17829"	1.05042016806723	0.49918671826799	0.0310914895230561	1	2.10426305353602	"RHOA_HUMAN;KANK1_HUMAN;HIP1R_HUMAN;PLCG2_HUMAN;RS3_HUMAN;IFIT5_HUMAN;PLCG1_HUMAN;PSD3_HUMAN;KIBRA_HUMAN;AIF1_HUMAN;AIF1L_HUMAN"	"11/952"
"WT1"	"correlated"	"GO"	"0018105"	"peptidyl-serine phosphorylation "	"157/17829"	1.57563025210084	0.880587806382859	0.0317527738389174	1	1.7892937429749	"PLK1_HUMAN;ST32A_HUMAN;MAPK3_HUMAN;HIPK1_HUMAN;KPCI_HUMAN;KS6A6_HUMAN;KS6B2_HUMAN;KC1A_HUMAN;MK09_HUMAN;MKNK2_HUMAN;ULK2_HUMAN;TSSK6_HUMAN;KCC1D_HUMAN;KCC4_HUMAN;DYR1A_HUMAN;DYRK2_HUMAN"	"16/952"
"WT1"	"correlated"	"GO"	"2000330"	"positive regulation of T-helper 17 cell lineage commitment "	"4/17829"	0.210084033613445	0.0224353581244041	0.0321270667635087	1	9.36397058823529	"I12R1_HUMAN;IL23A_HUMAN;IL12B_HUMAN"	"3/952"
"WT1"	"correlated"	"GO"	"0071333"	"cellular response to glucose stimulus "	"55/17829"	0.735294117647059	0.308486174210556	0.0328737967737593	1	2.38355614973262	"GPER1_HUMAN;FGF21_HUMAN;ERN1_HUMAN;SRF_HUMAN;ZN236_HUMAN;RACK1_HUMAN;ICAM1_HUMAN;GPX1_HUMAN"	"8/952"
"WT1"	"correlated"	"GO"	"0001707"	"mesoderm formation "	"32/17829"	0.525210084033613	0.179482864995232	0.0344447706892376	1	2.92624080882353	"SMAD3_HUMAN;MSGN1_HUMAN;SRF_HUMAN;BMP7_HUMAN;BMR1A_HUMAN;BMPR2_HUMAN"	"6/952"
"WT1"	"correlated"	"GO"	"0032819"	"positive regulation of natural killer cell proliferation "	"12/17829"	0.315126050420168	0.0673060743732122	0.0352008781780638	1	4.68198529411765	"I12R1_HUMAN;IL15_HUMAN;IL23A_HUMAN;IL12B_HUMAN"	"4/952"
"WT1"	"correlated"	"GO"	"0034097"	"response to cytokine "	"44/17829"	0.630252100840336	0.246788939368445	0.035997995844826	1	2.55381016042781	"LYAM2_HUMAN;MAPK3_HUMAN;FOS_HUMAN;MCL1_HUMAN;UTER_HUMAN;SRF_HUMAN;CO3A1_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0004402"	"histone acetyltransferase activity "	"22/17829"	0.420168067226891	0.123394469684222	0.0374059805213569	1	3.40508021390374	"EP300_HUMAN;MED24_HUMAN;CSR2B_HUMAN;ST65G_HUMAN;NCOA1_HUMAN"	"5/952"
"WT1"	"correlated"	"GO"	"0070507"	"regulation of microtubule cytoskeleton organization "	"33/17829"	0.525210084033613	0.185091704526334	0.0381066443766346	1	2.83756684491979	"MPDZ_HUMAN;RASF7_HUMAN;RHOA_HUMAN;DIXC1_HUMAN;CAMP3_HUMAN;INADL_HUMAN"	"6/952"
"WT1"	"correlated"	"GO"	"0043388"	"positive regulation of DNA binding "	"33/17829"	0.525210084033613	0.185091704526334	0.0381066443766346	1	2.83756684491979	"PPARG_HUMAN;MMP9_HUMAN;FOXC1_HUMAN;ERCC2_HUMAN;NGF_HUMAN;CALM2_HUMAN"	"6/952"
