"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"76","A5X5Y0","5HT3E_HUMAN","5-hydroxytryptamine receptor 3E","Homo sapiens","9606","HTR3E","1","1"
"77","A5YKK6","CNOT1_HUMAN","CCR4-NOT transcription complex subunit 1","Homo sapiens","9606","CNOT1","1","2"
"78","A5YM72","CRNS1_HUMAN","Carnosine synthase 1","Homo sapiens","9606","CARNS1","1","3"
"79","A6BM72","MEG11_HUMAN","Multiple epidermal growth factor-like domains protein 11","Homo sapiens","9606","MEGF11","1","3"
"80","A6H8Y1","BDP1_HUMAN","Transcription factor TFIIIB component B'' homolog","Homo sapiens","9606","BDP1","1","3"
"81","A6H8Z2","F221B_HUMAN","Protein FAM221B","Homo sapiens","9606","FAM221B","1","2"
"82","A6NC98","CC88B_HUMAN","Coiled-coil domain-containing protein 88B","Homo sapiens","9606","CCDC88B","1","1"
"83","A6NCS4","NKX26_HUMAN","Homeobox protein Nkx-2.6","Homo sapiens","9606","NKX2-6","1","1"
"84","A6ND01","JUNO_HUMAN","Sperm-egg fusion protein Juno","Homo sapiens","9606","IZUMO1R","1","3"
"85","A6ND36","FA83G_HUMAN","Protein FAM83G","Homo sapiens","9606","FAM83G","1","2"
"86","A6NDB9","PALM3_HUMAN","Paralemmin-3","Homo sapiens","9606","PALM3","1","2"
"87","A6NDE4","RBY1B_HUMAN","RNA-binding motif protein, Y chromosome, family 1 member B","Homo sapiens","9606","RBMY1B","2","2"
"88","A6NDG6","PGP_HUMAN","Glycerol-3-phosphate phosphatase","Homo sapiens","9606","PGP","1","1"
"89","A6NDV4","TMM8B_HUMAN","Transmembrane protein 8B","Homo sapiens","9606","TMEM8B","1","2"
"90","A6NED2","RCCD1_HUMAN","RCC1 domain-containing protein 1","Homo sapiens","9606","RCCD1","1","1"
"91","A6NEM1","GG6L9_HUMAN","Golgin subfamily A member 6-like protein 9","Homo sapiens","9606","GOLGA6L9","1","4"
"92","A6NFA1","TIKI2_HUMAN","Metalloprotease TIKI2","Homo sapiens","9606","TRABD2B","1","2"
"93","A6NFQ2","TCAF2_HUMAN","TRPM8 channel-associated factor 2","Homo sapiens","9606","TCAF2","1","2"
"94","A6NFX1","MFS2B_HUMAN","Sphingosine-1-phosphate transporter MFSD2B","Homo sapiens","9606","MFSD2B","1","4"
"95","A6NFY7","SDHF1_HUMAN","Succinate dehydrogenase assembly factor 1, mitochondrial","Homo sapiens","9606","SDHAF1","1","1"
"96","A6NGG8","PCARE_HUMAN","Photoreceptor cilium actin regulator","Homo sapiens","9606","PCARE","1","1"
"97","A6NGQ2","OOEP_HUMAN","Oocyte-expressed protein homolog","Homo sapiens","9606","OOEP","1","3"
"98","A6NGU5","GGT3_HUMAN","Putative glutathione hydrolase 3 proenzyme","Homo sapiens","9606","GGT3P","5","2"
"99","A6NHL2","TBAL3_HUMAN","Tubulin alpha chain-like 3","Homo sapiens","9606","TUBAL3","1","2"
"100","A6NHR9","SMHD1_HUMAN","Structural maintenance of chromosomes flexible hinge domain-containing protein 1","Homo sapiens","9606","SMCHD1","1","2"
"101","A6NI15","MSGN1_HUMAN","Mesogenin-1","Homo sapiens","9606","MSGN1","1","1"
"102","A6NI61","MYMK_HUMAN","Protein myomaker","Homo sapiens","9606","MYMK","1","1"
"103","A6NI73","LIRA5_HUMAN","Leukocyte immunoglobulin-like receptor subfamily A member 5","Homo sapiens","9606","LILRA5","1","1"
"104","A6NIH7","U119B_HUMAN","Protein unc-119 homolog B","Homo sapiens","9606","UNC119B","1","1"
"105","A6NIX2","WTIP_HUMAN","Wilms tumor protein 1-interacting protein","Homo sapiens","9606","WTIP","1","3"
"106","A6NJ46","NKX63_HUMAN","Homeobox protein Nkx-6.3","Homo sapiens","9606","NKX6-3","2","1"
"107","A6NJ78","MET15_HUMAN","12S rRNA N4-methylcytidine (m4C) methyltransferase","Homo sapiens","9606","METTL15","1","1"
"108","A6NK06","IRG1_HUMAN","Cis-aconitate decarboxylase","Homo sapiens","9606","ACOD1","1","1"
"109","A6NK58","LIPT2_HUMAN","Putative lipoyltransferase 2, mitochondrial","Homo sapiens","9606","LIPT2","1","1"
"110","A6NK89","RASFA_HUMAN","Ras association domain-containing protein 10","Homo sapiens","9606","RASSF10","1","3"
"111","A6NKB5","PCX2_HUMAN","Pecanex-like protein 2","Homo sapiens","9606","PCNX2","1","3"
"112","A6NL88","SHSA7_HUMAN","Protein shisa-7","Homo sapiens","9606","SHISA7","2","3"
"113","A6NMY6","AXA2L_HUMAN","Putative annexin A2-like protein","Homo sapiens","9606","ANXA2P2","5","2"
"114","A6NMZ7","CO6A6_HUMAN","Collagen alpha-6(VI) chain","Homo sapiens","9606","COL6A6","1","2"
"115","A6NNB3","IFM5_HUMAN","Interferon-induced transmembrane protein 5","Homo sapiens","9606","IFITM5","1","1"
"116","A6NNM8","TTL13_HUMAN","Tubulin polyglutamylase TTLL13","Homo sapiens","9606","TTLL13","1","2"
"117","A6NNY8","UBP27_HUMAN","Ubiquitin carboxyl-terminal hydrolase 27","Homo sapiens","9606","USP27X","1","3"
"118","A6NNZ2","TBB8B_HUMAN","Tubulin beta 8B","Homo sapiens","9606","TUBB8B","1","1"
"119","A6PVC2","TTLL8_HUMAN","Protein monoglycylase TTLL8","Homo sapiens","9606","TTLL8","2","4"
"120","A7E2V4","ZSWM8_HUMAN","Zinc finger SWIM domain-containing protein 8","Homo sapiens","9606","ZSWIM8","1","1"
"121","A7E2Y1","MYH7B_HUMAN","Myosin-7B","Homo sapiens","9606","MYH7B","1","4"
"122","A7KAX9","RHG32_HUMAN","Rho GTPase-activating protein 32","Homo sapiens","9606","ARHGAP32","1","1"
"123","A7MCY6","TBKB1_HUMAN","TANK-binding kinase 1-binding protein 1","Homo sapiens","9606","TBKBP1","1","1"
"124","A7MD48","SRRM4_HUMAN","Serine/arginine repetitive matrix protein 4","Homo sapiens","9606","SRRM4","1","2"
"125","A7XYQ1","SOBP_HUMAN","Sine oculis-binding protein homolog","Homo sapiens","9606","SOBP","1","2"
"126","A8CG34","P121C_HUMAN","Nuclear envelope pore membrane protein POM 121C","Homo sapiens","9606","POM121C","1","3"
"127","A8K0Z3","WASH1_HUMAN","WASH complex subunit 1","Homo sapiens","9606","WASHC1","1","2"
"128","A8K2U0","A2ML1_HUMAN","Alpha-2-macroglobulin-like protein 1","Homo sapiens","9606","A2ML1","1","3"
"129","A8K4G0","CLM7_HUMAN","CMRF35-like molecule 7","Homo sapiens","9606","CD300LB","1","2"
"130","A8K7I4","CLCA1_HUMAN","Calcium-activated chloride channel regulator 1","Homo sapiens","9606","CLCA1","1","3"
"131","A8K830","OCAT2_HUMAN","POU class 2 homeobox associating factor 3","Homo sapiens","9606","POU2AF3","1","2"
"132","A8K8P3","SFI1_HUMAN","Protein SFI1 homolog","Homo sapiens","9606","SFI1","1","2"
"133","A8K8V0","ZN785_HUMAN","Zinc finger protein 785","Homo sapiens","9606","ZNF785","1","1"
"134","A8MQ03","CRTP1_HUMAN","Cysteine-rich tail protein 1","Homo sapiens","9606","CYSRT1","1","1"
"135","A8MQ27","NEU1B_HUMAN","E3 ubiquitin-protein ligase NEURL1B","Homo sapiens","9606","NEURL1B","1","1"
"136","A8MT69","CENPX_HUMAN","Centromere protein X","Homo sapiens","9606","CENPX","1","1"
"137","A8MTA8","F166B_HUMAN","Protein FAM166B","Homo sapiens","9606","FAM166B","1","1"
"138","A8MTJ3","GNAT3_HUMAN","Guanine nucleotide-binding protein G(t) subunit alpha-3","Homo sapiens","9606","GNAT3","2","2"
"139","A8MTQ0","NOTO_HUMAN","Homeobox protein notochord","Homo sapiens","9606","NOTO","1","2"
"140","A8MTZ0","BBIP1_HUMAN","BBSome-interacting protein 1","Homo sapiens","9606","BBIP1","1","2"
"141","A8MU46","SMTL1_HUMAN","Smoothelin-like protein 1","Homo sapiens","9606","SMTNL1","1","2"
"142","A8MUP2","CSKMT_HUMAN","Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial","Homo sapiens","9606","CSKMT","1","1"
"143","A8MV65","VGLL3_HUMAN","Transcription cofactor vestigial-like protein 3","Homo sapiens","9606","VGLL3","1","1"
"144","A8MVW5","HECA2_HUMAN","HEPACAM family member 2","Homo sapiens","9606","HEPACAM2","1","1"
"145","A8MW92","P20L1_HUMAN","PHD finger protein 20-like protein 1","Homo sapiens","9606","PHF20L1","1","2"
"146","A8MW95","BECN2_HUMAN","Beclin-2","Homo sapiens","9606","BECN2","1","2"
"147","A8MW99","MEI4_HUMAN","Meiosis-specific protein MEI4","Homo sapiens","9606","MEI4","1","2"
"148","A8MXD5","GRCR1_HUMAN","Glutaredoxin domain-containing cysteine-rich protein 1","Homo sapiens","9606","GRXCR1","1","1"
"149","A8MXV4","NUD19_HUMAN","Acyl-coenzyme A diphosphatase NUDT19","Homo sapiens","9606","NUDT19","1","1"
"150","A8MYU2","KCNU1_HUMAN","Potassium channel subfamily U member 1","Homo sapiens","9606","KCNU1","1","2"
"151","A8MZ59","LEUTX_HUMAN","Paired-like homeodomain transcription factor LEUTX","Homo sapiens","9606","LEUTX","1","4"
"152","A8TX70","CO6A5_HUMAN","Collagen alpha-5(VI) chain","Homo sapiens","9606","COL6A5","1","1"
"153","A9QM74","IMA8_HUMAN","Importin subunit alpha-8","Homo sapiens","9606","KPNA7","1","1"
"154","A9UHW6","MI4GD_HUMAN","MIF4G domain-containing protein","Homo sapiens","9606","MIF4GD","1","1"
"155","A9YTQ3","AHRR_HUMAN","Aryl hydrocarbon receptor repressor","Homo sapiens","9606","AHRR","1","3"
"156","B0I1T2","MYO1G_HUMAN","Unconventional myosin-Ig","Homo sapiens","9606","MYO1G","1","2"
"157","B0L3A2","DEAR_HUMAN","Dual endothelin-1/angiotensin II receptor","Homo sapiens","9606","FBXW7-AS1","1","1"
"158","B0YJ81","HACD1_HUMAN","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1","Homo sapiens","9606","HACD1","1","1"
"159","B1AK53","ESPN_HUMAN","Espin","Homo sapiens","9606","ESPN","1","1"
"160","B2RTY4","MYO9A_HUMAN","Unconventional myosin-IXa","Homo sapiens","9606","MYO9A","1","2"
"161","B2RUY7","VWC2L_HUMAN","von Willebrand factor C domain-containing protein 2-like","Homo sapiens","9606","VWC2L","1","1"
"162","B2RUZ4","SMIM1_HUMAN","Small integral membrane protein 1","Homo sapiens","9606","SMIM1","1","1"
"163","B2RXF5","ZBT42_HUMAN","Zinc finger and BTB domain-containing protein 42","Homo sapiens","9606","ZBTB42","1","2"
"164","B2RXH2","KDM4E_HUMAN","Lysine-specific demethylase 4E","Homo sapiens","9606","KDM4E","1","1"
"165","B3KU38","IQIP1_HUMAN","IQCJ-SCHIP1 readthrough transcript protein","Homo sapiens","9606","IQCJ-SCHIP1","1","2"
"166","B6A8C7","TARM1_HUMAN","T-cell-interacting, activating receptor on myeloid cells protein 1","Homo sapiens","9606","TARM1","1","1"
"167","B7U540","KCJ18_HUMAN","Inward rectifier potassium channel 18","Homo sapiens","9606","KCNJ18","1","3"
"168","B7ZAQ6","GPHRA_HUMAN","Golgi pH regulator A","Homo sapiens","9606","GPR89A","1","2"
"169","C4AMC7","WASH3_HUMAN","Putative WAS protein family homolog 3","Homo sapiens","9606","WASH3P","1","2"
"170","C9JE40","PATL2_HUMAN","Protein PAT1 homolog 2","Homo sapiens","9606","PATL2","1","1"
"171","C9JLW8","MCRI1_HUMAN","Mapk-regulated corepressor-interacting protein 1","Homo sapiens","9606","MCRIP1","1","1"
"172","C9JR72","KBTBD_HUMAN","Kelch repeat and BTB domain-containing protein 13","Homo sapiens","9606","KBTBD13","1","1"
"173","C9JRZ8","AK1BF_HUMAN","Aldo-keto reductase family 1 member B15","Homo sapiens","9606","AKR1B15","1","2"
"174","D3W0D1","KLRF2_HUMAN","Killer cell lectin-like receptor subfamily F member 2","Homo sapiens","9606","KLRF2","1","1"
"175","D6RGH6","MCIN_HUMAN","Multicilin","Homo sapiens","9606","MCIDAS","1","1"
"176","E0CX11","STMP1_HUMAN","Short transmembrane mitochondrial protein 1","Homo sapiens","9606","STMP1","1","1"
"177","F5H094","SO1BT_HUMAN","SLCO1B3-SLCO1B7 readthrough transcript protein","Homo sapiens","9606","SLCO1B3-SLCO1B7","1","1"
"178","G2XKQ0","SUMO5_HUMAN","Small ubiquitin-related modifier 5","Homo sapiens","9606","SUMO1P1","1","2"
"179","H0YL14","TM250_HUMAN","Transmembrane protein 250","Homo sapiens","9606","TMEM250","1","2"
"180","K7EJ46","SIM22_HUMAN","Small integral membrane protein 22","Homo sapiens","9606","SMIM22","1","2"
"181","K9M1U5","IFNL4_HUMAN","Interferon lambda-4","Homo sapiens","9606","IFNL4","2","1"
"182","L0R8F8","MIDUO_HUMAN","Mitochondrial ribosome and complex I assembly factor AltMIEF1","Homo sapiens","9606","MIEF1","1","1"
"183","M0R2J8","DCDC1_HUMAN","Doublecortin domain-containing protein 1","Homo sapiens","9606","DCDC1","1","1"
"184","O00115","DNS2A_HUMAN","Deoxyribonuclease-2-alpha","Homo sapiens","9606","DNASE2","1","2"
"185","O00116","ADAS_HUMAN","Alkyldihydroxyacetonephosphate synthase, peroxisomal","Homo sapiens","9606","AGPS","1","1"
"186","O00124","UBXN8_HUMAN","UBX domain-containing protein 8","Homo sapiens","9606","UBXN8","1","2"
"187","O00139","KIF2A_HUMAN","Kinesin-like protein KIF2A","Homo sapiens","9606","KIF2A","1","3"
"188","O00141","SGK1_HUMAN","Serine/threonine-protein kinase Sgk1","Homo sapiens","9606","SGK1","1","2"
"189","O00142","KITM_HUMAN","Thymidine kinase 2, mitochondrial","Homo sapiens","9606","TK2","1","4"
"190","O00144","FZD9_HUMAN","Frizzled-9","Homo sapiens","9606","FZD9","2","1"
"191","O00148","DX39A_HUMAN","ATP-dependent RNA helicase DDX39A","Homo sapiens","9606","DDX39A","1","2"
"192","O00151","PDLI1_HUMAN","PDZ and LIM domain protein 1","Homo sapiens","9606","PDLIM1","1","4"
"193","O00154","BACH_HUMAN","Cytosolic acyl coenzyme A thioester hydrolase","Homo sapiens","9606","ACOT7","1","3"
"194","O00155","GPR25_HUMAN","Probable G-protein coupled receptor 25","Homo sapiens","9606","GPR25","1","2"
"195","O00159","MYO1C_HUMAN","Unconventional myosin-Ic","Homo sapiens","9606","MYO1C","1","4"
"196","O00160","MYO1F_HUMAN","Unconventional myosin-If","Homo sapiens","9606","MYO1F","1","3"
"197","O00161","SNP23_HUMAN","Synaptosomal-associated protein 23","Homo sapiens","9606","SNAP23","1","1"
"198","O00165","HAX1_HUMAN","HCLS1-associated protein X-1","Homo sapiens","9606","HAX1","1","2"
"199","O00167","EYA2_HUMAN","Eyes absent homolog 2","Homo sapiens","9606","EYA2","1","2"
"200","O00168","PLM_HUMAN","Phospholemman","Homo sapiens","9606","FXYD1","1","2"
"201","O00170","AIP_HUMAN","AH receptor-interacting protein","Homo sapiens","9606","AIP","1","3"
"202","O00175","CCL24_HUMAN","C-C motif chemokine 24","Homo sapiens","9606","CCL24","1","2"
"203","O00180","KCNK1_HUMAN","Potassium channel subfamily K member 1","Homo sapiens","9606","KCNK1","1","1"
"204","O00182","LEG9_HUMAN","Galectin-9","Homo sapiens","9606","LGALS9","1","2"
"205","O00186","STXB3_HUMAN","Syntaxin-binding protein 3","Homo sapiens","9606","STXBP3","1","2"
"206","O00187","MASP2_HUMAN","Mannan-binding lectin serine protease 2","Homo sapiens","9606","MASP2","1","4"
"207","O00189","AP4M1_HUMAN","AP-4 complex subunit mu-1","Homo sapiens","9606","AP4M1","1","2"
"208","O00192","ARVC_HUMAN","Splicing regulator ARVCF","Homo sapiens","9606","ARVCF","1","1"
"209","O00194","RB27B_HUMAN","Ras-related protein Rab-27B","Homo sapiens","9606","RAB27B","1","4"
"210","O00198","HRK_HUMAN","Activator of apoptosis harakiri","Homo sapiens","9606","HRK","1","1"
"211","O00203","AP3B1_HUMAN","AP-3 complex subunit beta-1","Homo sapiens","9606","AP3B1","1","3"
"212","O00204","ST2B1_HUMAN","Sulfotransferase 2B1","Homo sapiens","9606","SULT2B1","1","2"
"213","O00206","TLR4_HUMAN","Toll-like receptor 4","Homo sapiens","9606","TLR4","1","2"
"214","O00212","RHOD_HUMAN","Rho-related GTP-binding protein RhoD","Homo sapiens","9606","RHOD","1","3"
"215","O00213","APBB1_HUMAN","Amyloid beta precursor protein binding family B member 1","Homo sapiens","9606","APBB1","1","2"
"216","O00214","LEG8_HUMAN","Galectin-8","Homo sapiens","9606","LGALS8","1","4"
"217","O00217","NDUS8_HUMAN","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","Homo sapiens","9606","NDUFS8","1","1"
"218","O00219","HYAS3_HUMAN","Hyaluronan synthase 3","Homo sapiens","9606","HAS3","1","3"
"219","O00220","TR10A_HUMAN","Tumor necrosis factor receptor superfamily member 10A","Homo sapiens","9606","TNFRSF10A","1","3"
"220","O00221","IKBE_HUMAN","NF-kappa-B inhibitor epsilon","Homo sapiens","9606","NFKBIE","1","3"
"221","O00222","GRM8_HUMAN","Metabotropic glutamate receptor 8","Homo sapiens","9606","GRM8","1","2"
"222","O00231","PSD11_HUMAN","26S proteasome non-ATPase regulatory subunit 11","Homo sapiens","9606","PSMD11","1","3"
"223","O00232","PSD12_HUMAN","26S proteasome non-ATPase regulatory subunit 12","Homo sapiens","9606","PSMD12","1","3"
"224","O00233","PSMD9_HUMAN","26S proteasome non-ATPase regulatory subunit 9","Homo sapiens","9606","PSMD9","1","3"
"225","O00237","RN103_HUMAN","E3 ubiquitin-protein ligase RNF103","Homo sapiens","9606","RNF103","1","1"
"226","O00238","BMR1B_HUMAN","Bone morphogenetic protein receptor type-1B","Homo sapiens","9606","BMPR1B","1","1"
"227","O00241","SIRB1_HUMAN","Signal-regulatory protein beta-1","Homo sapiens","9606","SIRPB1","1","5"
"228","O00244","ATOX1_HUMAN","Copper transport protein ATOX1","Homo sapiens","9606","ATOX1","1","1"
"229","O00253","AGRP_HUMAN","Agouti-related protein","Homo sapiens","9606","AGRP","1","1"
"230","O00254","PAR3_HUMAN","Proteinase-activated receptor 3","Homo sapiens","9606","F2RL2","1","1"
"231","O00255","MEN1_HUMAN","Menin","Homo sapiens","9606","MEN1","1","4"
"232","O00257","CBX4_HUMAN","E3 SUMO-protein ligase CBX4","Homo sapiens","9606","CBX4","1","3"
"233","O00258","GET1_HUMAN","Guided entry of tail-anchored proteins factor 1","Homo sapiens","9606","GET1","1","2"
"234","O00264","PGRC1_HUMAN","Membrane-associated progesterone receptor component 1","Homo sapiens","9606","PGRMC1","1","3"
